,Nome,Sobrenome,Data de Nascimento,Loja,Produto,Data,Quantidade Vendida,Preco,Faturamento,Mes_Vendas,Mes_Vendas_Num,Devolucoes
326,Emanuella,Fialho,08/02/1989,Rio de Janeiro,Vestido,2018-03-30,42,230,9660,Marco,3,3
260,Maryanna,Correa,13/08/1988,Porto Alegre,Sandalia,2018-03-17,49,150,7350,Marco,3,2
218,Eduarda,Figueiredo,27/10/1989,Brasilia,Bermuda,2018-03-06,1,85,85,Junho,3,6
217,Izabel,Milagre,30/12/1992,Curitiba,Vestido,2018-03-06,4,300,1200,Junho,3,7
216,Iago,Bensdorp,24/10/1985,Curitiba,Chinelo,2018-03-06,9,200,1800,Junho,3,7
215,Andrew,Carvalhal,02/05/1989,Fortaleza,Sapato,2018-03-06,17,190,3230,Junho,3,8
214,Andrew,Carvalhal,23/04/1986,Porto Alegre,Bermuda,2018-03-06,74,85,6290,Junho,3,3
209,Iago,Bensdorp,23/04/1993,Sao Paulo,Casaco,2018-03-05,96,250,24000,Maio,3,6
210,Iago,Bensdorp,09/12/1990,Rio de Janeiro,Sapato,2018-03-05,118,200,23600,Maio,3,5
211,Breno,Amaral,27/12/1986,Sao Paulo,Sapato,2018-03-05,40,230,9200,Maio,3,3
267,Andrew,Carvalhal,09/10/1988,Brasilia,Camiseta,2018-03-19,56,110,6160,Marco,3,4
266,Iago,Bensdorp,17/02/1985,Brasilia,Jaqueta,2018-03-19,88,75,6600,Marco,3,6
255,Eduarda,Figueiredo,17/08/1986,Porto Alegre,Short,2018-03-16,9,110,990,Marco,3,2
258,Joyce,Ribas,28/03/1993,Curitiba,Casaco,2018-03-17,125,150,18750,Marco,3,7
256,Tayna,Coimbra,08/08/1993,Fortaleza,Saia,2018-03-17,126,230,28980,Marco,3,4
259,Joyce,Ribas,28/02/1992,Curitiba,Pulseira,2018-03-17,93,85,7905,Marco,3,2
203,Paloma,Farias,22/03/1988,Fortaleza,Vestido,2018-03-04,140,85,11900,Abril,3,3
328,Paloma,Farias,05/05/1992,Rio de Janeiro,Vestido,2018-03-30,39,75,2925,Marco,3,8
222,Maryanna,Correa,03/11/1990,Sao Paulo,Sandalia,2018-03-07,23,110,2530,Julho,3,1
221,Patricia,Camara,07/03/1993,Salvador,Vestido,2018-03-07,14,230,3220,Julho,3,7
253,Patricia,Camara,18/12/1993,Fortaleza,Saia,2018-03-16,51,200,10200,Marco,3,6
261,Paloma,Farias,23/10/1986,Rio de Janeiro,Casaco,2018-03-18,107,300,32100,Marco,3,3
264,Izabel,Milagre,02/02/1989,Curitiba,Vestido,2018-03-18,138,85,11730,Marco,3,4
263,Emanuella,Fialho,23/02/1988,Sao Paulo,Sapato,2018-03-18,122,110,13420,Marco,3,3
262,Elizeu,Barros,06/11/1993,Brasilia,Sapato,2018-03-18,121,250,30250,Marco,3,7
250,Tayna,Coimbra,09/12/1986,Brasilia,Casaco,2018-03-15,16,75,1200,Marco,3,8
247,Paloma,Farias,05/12/1993,Porto Alegre,Casaco,2018-03-15,70,230,16100,Marco,3,8
249,Breno,Amaral,06/10/1985,Rio de Janeiro,Casaco,2018-03-15,28,55,1540,Marco,3,2
257,Elizeu,Barros,29/12/1990,Sao Paulo,Vestido,2018-03-17,117,230,26910,Marco,3,8
252,Patricia,Camara,24/11/1989,Porto Alegre,Sapato,2018-03-15,3,85,255,Marco,3,3
251,NatÃ¡lia,Huon,01/02/1991,Porto Alegre,Sapato,2018-03-15,43,25,1075,Marco,3,3
329,Paloma,Farias,23/09/1985,Rio de Janeiro,Vestido,2018-03-31,132,190,25080,Marco,3,2
330,Patricia,Camara,15/05/1988,Rio de Janeiro,Pulseira,2018-03-31,76,200,15200,Marco,3,4
331,Joyce,Ribas,31/01/1989,Rio de Janeiro,Saia,2018-03-31,89,150,13350,Marco,3,4
332,Elizeu,Barros,15/09/1988,Rio de Janeiro,Bermuda,2018-03-31,18,150,2700,Marco,3,2
223,Jucelia,Bailly,01/10/1989,Brasilia,Casaco,2018-03-08,61,75,4575,Agosto,3,5
220,Elizeu,Barros,03/08/1993,Curitiba,Sapato,2018-03-07,52,85,4420,Julho,3,7
219,Joyce,Ribas,24/02/1992,Fortaleza,Camiseta,2018-03-07,120,85,10200,Julho,3,6
248,Breno,Amaral,14/05/1986,Fortaleza,Vestido,2018-03-15,97,85,8245,Marco,3,2
272,Maryanna,Correa,05/10/1987,Salvador,Camiseta,2018-03-20,6,85,510,Marco,3,4
265,Tayna,Coimbra,09/03/1989,Rio de Janeiro,Chinelo,2018-03-19,79,300,23700,Marco,3,6
318,Jucelia,Bailly,11/08/1991,Curitiba,Bermuda,2018-03-29,92,200,18400,Marco,3,1
229,Izabel,Milagre,26/09/1992,Brasilia,Vestido,2018-03-11,135,230,31050,Novembro,3,8
280,Joyce,Ribas,15/12/1986,Salvador,Vestido,2018-03-22,90,190,17100,Marco,3,7
226,Breno,Amaral,08/10/1989,Porto Alegre,Sapato,2018-03-10,83,150,12450,Outubro,3,6
317,Elizeu,Barros,17/12/1991,Salvador,Saia,2018-03-29,137,150,20550,Marco,3,5
310,Eduarda,Figueiredo,08/10/1987,Fortaleza,Sapato,2018-03-28,118,150,17700,Marco,3,3
311,Breno,Amaral,04/11/1988,Porto Alegre,Vestido,2018-03-28,82,110,9020,Marco,3,7
312,Elizeu,Barros,24/07/1991,Salvador,Camiseta,2018-03-28,108,55,5940,Marco,3,5
313,Izabel,Milagre,27/04/1993,Rio de Janeiro,Chinelo,2018-03-28,76,75,5700,Marco,3,1
316,Iago,Bensdorp,27/04/1991,Sao Paulo,Bermuda,2018-03-28,3,85,255,Marco,3,5
315,Juliane,Felipi,03/01/1991,Rio de Janeiro,Casaco,2018-03-28,9,110,990,Marco,3,2
314,Paloma,Farias,20/11/1985,Rio de Janeiro,Camiseta,2018-03-28,137,25,3425,Marco,3,7
308,Maryanna,Correa,05/09/1993,Salvador,Sapato,2018-03-28,139,150,20850,Marco,3,3
307,Jucelia,Bailly,04/05/1992,Salvador,Casaco,2018-03-28,109,200,21800,Marco,3,8
306,NatÃ¡lia,Huon,14/10/1986,Fortaleza,Vestido,2018-03-28,120,190,22800,Marco,3,7
206,Breno,Amaral,10/07/1987,Curitiba,Bermuda,2018-03-04,64,30,1920,Abril,3,8
205,Emanuella,Fialho,23/05/1990,Porto Alegre,Vestido,2018-03-04,33,75,2475,Abril,3,2
204,Emanuella,Fialho,30/08/1991,Porto Alegre,Sapato,2018-03-04,36,75,2700,Abril,3,6
227,Breno,Amaral,06/04/1991,Sao Paulo,Short,2018-03-10,45,200,9000,Outubro,3,5
228,Breno,Amaral,09/02/1989,Sao Paulo,Tenis,2018-03-10,102,85,8670,Outubro,3,1
230,Paloma,Farias,12/10/1987,Salvador,Sandalia,2018-03-11,46,200,9200,Novembro,3,2
231,Juliane,Felipi,01/11/1992,Porto Alegre,Pulseira,2018-03-11,52,25,1300,Novembro,3,8
309,Jucelia,Bailly,04/07/1986,Curitiba,Sapato,2018-03-28,100,190,19000,Marco,3,4
233,Andrew,Carvalhal,15/07/1992,Fortaleza,Vestido,2018-03-12,13,250,3250,Dezembro,3,1
319,Jucelia,Bailly,18/09/1989,Sao Paulo,Bermuda,2018-03-29,79,110,8690,Marco,3,4
321,Andrew,Carvalhal,30/04/1985,Rio de Janeiro,Sapato,2018-03-29,95,55,5225,Marco,3,3
322,Patricia,Camara,15/10/1987,Rio de Janeiro,Sandalia,2018-03-29,91,55,5005,Marco,3,2
320,Jucelia,Bailly,26/05/1990,Curitiba,Sandalia,2018-03-29,20,300,6000,Marco,3,5
324,Juliane,Felipi,10/01/1990,Salvador,Casaco,2018-03-29,5,190,950,Marco,3,4
232,Juliane,Felipi,03/03/1991,Porto Alegre,Vestido,2018-03-12,73,300,21900,Dezembro,3,1
323,Iago,Bensdorp,14/03/1991,Salvador,Saia,2018-03-29,11,230,2530,Marco,3,3
212,Iago,Bensdorp,05/03/1991,Porto Alegre,Chinelo,2018-03-05,117,55,6435,Maio,3,2
213,Eduarda,Figueiredo,17/07/1992,Rio de Janeiro,Sandalia,2018-03-05,59,55,3245,Maio,3,8
208,Breno,Amaral,04/11/1989,Rio de Janeiro,Vestido,2018-03-04,3,250,750,Abril,3,1
254,Iago,Bensdorp,30/07/1989,Sao Paulo,Saia,2018-03-16,54,110,5940,Marco,3,4
271,Andrew,Carvalhal,01/08/1986,Curitiba,Casaco,2018-03-20,127,25,3175,Marco,3,7
268,Jucelia,Bailly,23/11/1993,Fortaleza,Casaco,2018-03-20,111,110,12210,Marco,3,8
269,Joyce,Ribas,02/02/1988,Brasilia,Casaco,2018-03-20,67,110,7370,Marco,3,5
270,Eduarda,Figueiredo,30/10/1988,Rio de Janeiro,Vestido,2018-03-20,47,75,3525,Marco,3,1
234,Juliane,Felipi,05/05/1985,Porto Alegre,Casaco,2018-03-12,30,75,2250,Dezembro,3,8
235,Maryanna,Correa,30/07/1993,Brasilia,Sapato,2018-03-12,64,25,1600,Dezembro,3,3
236,Tayna,Coimbra,05/10/1991,Curitiba,Chinelo,2018-03-12,23,25,575,Dezembro,3,2
207,Eduarda,Figueiredo,12/02/1992,Brasilia,Vestido,2018-03-04,23,55,1265,Abril,3,2
411,Elizeu,Barros,21/07/1986,Curitiba,Sapato,2018-04-17,19,75,1425,Abril,4,4
412,Patricia,Camara,16/02/1985,Porto Alegre,Jaqueta,2018-04-17,6,150,900,Abril,4,1
404,Juliane,Felipi,23/05/1993,Curitiba,Vestido,2018-04-16,137,300,41100,Abril,4,8
430,Breno,Amaral,22/01/1990,Salvador,Vestido,2018-04-21,143,30,4290,Abril,4,6
428,Patricia,Camara,30/03/1989,Rio de Janeiro,Sapato,2018-04-21,60,110,6600,Abril,4,7
429,Izabel,Milagre,18/06/1989,Brasilia,Sapato,2018-04-21,99,55,5445,Abril,4,4
407,Elizeu,Barros,25/07/1986,Curitiba,Chinelo,2018-04-16,18,110,1980,Abril,4,8
405,Juliane,Felipi,28/11/1993,Salvador,Sapato,2018-04-16,33,85,2805,Abril,4,4
406,Elizeu,Barros,31/07/1988,Salvador,Casaco,2018-04-16,80,30,2400,Abril,4,3
409,Juliane,Felipi,13/01/1992,Salvador,Casaco,2018-04-17,123,200,24600,Abril,4,8
427,Jucelia,Bailly,23/04/1989,Brasilia,Saia,2018-04-21,36,190,6840,Abril,4,1
410,Elizeu,Barros,25/08/1993,Brasilia,Casaco,2018-04-17,43,300,12900,Abril,4,7
393,Maryanna,Correa,02/12/1988,Rio de Janeiro,Vestido,2018-04-14,89,230,20470,Abril,4,2
415,Andrew,Carvalhal,18/09/1993,Fortaleza,Sapato,2018-04-18,89,55,4895,Abril,4,1
392,Paloma,Farias,13/12/1988,Sao Paulo,Sapato,2018-04-14,142,150,21300,Abril,4,3
391,Joyce,Ribas,25/10/1990,Porto Alegre,Jaqueta,2018-04-14,150,250,37500,Abril,4,2
394,Joyce,Ribas,22/03/1992,Fortaleza,Vestido,2018-04-14,76,230,17480,Abril,4,3
397,Andrew,Carvalhal,30/08/1991,Porto Alegre,Sapato,2018-04-14,62,110,6820,Abril,4,5
398,Elizeu,Barros,31/12/1988,Fortaleza,Sapato,2018-04-14,21,300,6300,Abril,4,8
399,Eduarda,Figueiredo,15/02/1986,Salvador,Casaco,2018-04-14,13,85,1105,Abril,4,1
396,Maryanna,Correa,05/04/1993,Salvador,Casaco,2018-04-14,64,110,7040,Abril,4,2
426,Breno,Amaral,24/07/1989,Fortaleza,Sapato,2018-04-20,88,30,2640,Abril,4,1
425,Izabel,Milagre,16/06/1992,Fortaleza,Pulseira,2018-04-20,72,110,7920,Abril,4,4
424,Eduarda,Figueiredo,17/09/1992,Rio de Janeiro,Chinelo,2018-04-20,95,85,8075,Abril,4,6
423,Elizeu,Barros,13/03/1987,Curitiba,Vestido,2018-04-20,143,190,27170,Abril,4,1
419,Elizeu,Barros,26/06/1988,Rio de Janeiro,Vestido,2018-04-19,98,150,14700,Abril,4,5
422,Jucelia,Bailly,02/12/1993,Sao Paulo,Vestido,2018-04-19,1,30,30,Abril,4,8
421,Patricia,Camara,06/07/1985,Porto Alegre,Casaco,2018-04-19,35,55,1925,Abril,4,8
420,Maryanna,Correa,13/04/1990,Porto Alegre,Casaco,2018-04-19,52,55,2860,Abril,4,8
390,Jucelia,Bailly,06/08/1989,Rio de Janeiro,Sapato,2018-04-13,34,75,2550,Abril,4,1
388,Eduarda,Figueiredo,01/06/1990,Rio de Janeiro,Casaco,2018-04-13,88,190,16720,Abril,4,5
389,Joyce,Ribas,05/03/1993,Brasilia,Jaqueta,2018-04-13,81,150,12150,Abril,4,2
401,Andrew,Carvalhal,11/09/1991,Fortaleza,Casaco,2018-04-15,105,200,21000,Abril,4,3
403,Emanuella,Fialho,11/09/1993,Rio de Janeiro,Vestido,2018-04-15,6,250,1500,Abril,4,1
402,Eduarda,Figueiredo,03/04/1990,Sao Paulo,Sandalia,2018-04-15,93,55,5115,Abril,4,1
400,Iago,Bensdorp,04/01/1987,Fortaleza,Vestido,2018-04-15,143,250,35750,Abril,4,7
413,Elizeu,Barros,25/08/1985,Rio de Janeiro,Sapato,2018-04-18,100,190,19000,Abril,4,6
414,Jucelia,Bailly,05/09/1987,Sao Paulo,Sapato,2018-04-18,80,85,6800,Abril,4,4
418,Tayna,Coimbra,13/11/1987,Salvador,Vestido,2018-04-18,11,30,330,Abril,4,3
417,Juliane,Felipi,22/03/1985,Curitiba,Camiseta,2018-04-18,19,55,1045,Abril,4,1
416,Patricia,Camara,21/06/1986,Brasilia,Vestido,2018-04-18,20,55,1100,Abril,4,8
408,Izabel,Milagre,16/07/1986,Salvador,Sapato,2018-04-17,137,250,34250,Abril,4,8
395,Izabel,Milagre,09/10/1987,Rio de Janeiro,Vestido,2018-04-14,85,190,16150,Abril,4,4
438,Joyce,Ribas,16/02/1987,Sao Paulo,Vestido,2018-04-24,143,55,7865,Abril,4,1
450,Patricia,Camara,01/03/1985,Salvador,Casaco,2018-04-26,21,190,3990,Abril,4,3
372,Andrew,Carvalhal,04/09/1991,Porto Alegre,Vestido,2018-04-09,43,110,4730,Setembro,4,1
363,Andrew,Carvalhal,12/09/1991,Porto Alegre,Casaco,2018-04-08,60,190,11400,Agosto,4,4
368,Eduarda,Figueiredo,17/03/1991,Sao Paulo,Casaco,2018-04-08,122,30,3660,Agosto,4,7
367,Jucelia,Bailly,08/11/1986,Rio de Janeiro,Casaco,2018-04-08,129,30,3870,Agosto,4,6
366,Andrew,Carvalhal,29/04/1990,Rio de Janeiro,Vestido,2018-04-08,36,150,5400,Agosto,4,6
459,Maryanna,Correa,21/02/1986,Brasilia,Vestido,2018-04-28,55,230,12650,Abril,4,2
461,Elizeu,Barros,11/02/1993,Sao Paulo,Tenis,2018-04-28,94,110,10340,Abril,4,8
462,Iago,Bensdorp,14/07/1991,Curitiba,Sandalia,2018-04-28,66,25,1650,Abril,4,8
463,Andrew,Carvalhal,21/01/1993,Sao Paulo,Saia,2018-04-28,2,150,300,Abril,4,4
374,Patricia,Camara,07/05/1988,Porto Alegre,Short,2018-04-09,8,190,1520,Setembro,4,5
460,Paloma,Farias,15/02/1989,Rio de Janeiro,Camiseta,2018-04-28,57,190,10830,Abril,4,8
454,Juliane,Felipi,06/10/1990,Porto Alegre,Saia,2018-04-27,142,250,35500,Abril,4,5
455,Eduarda,Figueiredo,27/05/1992,Rio de Janeiro,Tenis,2018-04-27,55,190,10450,Abril,4,6
456,Emanuella,Fialho,10/05/1991,Fortaleza,Sapato,2018-04-27,117,85,9945,Abril,4,2
457,Patricia,Camara,19/10/1991,Rio de Janeiro,Sandalia,2018-04-27,130,25,3250,Abril,4,1
458,Elizeu,Barros,13/03/1989,Sao Paulo,Sandalia,2018-04-27,26,110,2860,Abril,4,1
365,Breno,Amaral,10/12/1988,Curitiba,Tenis,2018-04-08,39,150,5850,Agosto,4,5
364,Jucelia,Bailly,11/03/1985,Curitiba,Saia,2018-04-08,123,55,6765,Agosto,4,5
362,Emanuella,Fialho,29/09/1985,Brasilia,Sapato,2018-04-07,18,75,1350,Julho,4,3
361,Elizeu,Barros,08/09/1989,Fortaleza,Chinelo,2018-04-06,139,230,31970,Junho,4,3
386,Juliane,Felipi,13/05/1990,Porto Alegre,Camiseta,2018-04-12,120,25,3000,Dezembro,4,3
360,Juliane,Felipi,19/08/1988,Sao Paulo,Short,2018-04-05,14,110,1540,Maio,4,3
373,Maryanna,Correa,05/04/1990,Brasilia,Vestido,2018-04-09,24,85,2040,Setembro,4,4
370,Patricia,Camara,02/10/1990,Porto Alegre,Vestido,2018-04-09,79,75,5925,Setembro,4,8
384,Emanuella,Fialho,14/09/1991,Sao Paulo,Camiseta,2018-04-12,47,190,8930,Dezembro,4,8
387,Joyce,Ribas,24/03/1987,Fortaleza,Sandalia,2018-04-12,3,250,750,Dezembro,4,8
383,Joyce,Ribas,09/12/1987,Porto Alegre,Vestido,2018-04-11,15,85,1275,Novembro,4,4
382,Jucelia,Bailly,14/05/1987,Curitiba,Vestido,2018-04-11,109,55,5995,Novembro,4,7
381,Emanuella,Fialho,12/03/1991,Brasilia,Saia,2018-04-11,45,190,8550,Novembro,4,2
471,Andrew,Carvalhal,04/01/1987,Porto Alegre,Sapato,2018-04-30,58,110,6380,Abril,4,5
470,Emanuella,Fialho,09/05/1988,Sao Paulo,Sandalia,2018-04-30,147,110,16170,Abril,4,4
464,Elizeu,Barros,09/04/1988,Brasilia,Sandalia,2018-04-29,146,190,27740,Abril,4,8
469,Andrew,Carvalhal,14/09/1992,Porto Alegre,Tenis,2018-04-29,4,75,300,Abril,4,5
369,Patricia,Camara,18/04/1985,Brasilia,Vestido,2018-04-09,118,55,6490,Setembro,4,3
467,Juliane,Felipi,01/10/1993,Brasilia,Casaco,2018-04-29,78,30,2340,Abril,4,3
380,Patricia,Camara,04/11/1992,Curitiba,Camiseta,2018-04-11,38,230,8740,Novembro,4,7
378,Maryanna,Correa,30/11/1989,Fortaleza,Short,2018-04-11,124,300,37200,Novembro,4,4
379,Andrew,Carvalhal,23/07/1992,Salvador,Pulseira,2018-04-11,41,300,12300,Novembro,4,8
377,Emanuella,Fialho,08/11/1985,Fortaleza,Sapato,2018-04-10,4,150,600,Outubro,4,4
375,Iago,Bensdorp,28/03/1990,Porto Alegre,Vestido,2018-04-10,69,250,17250,Outubro,4,3
376,Izabel,Milagre,31/03/1990,Curitiba,Vestido,2018-04-10,87,75,6525,Outubro,4,6
371,Maryanna,Correa,08/01/1985,Porto Alegre,Casaco,2018-04-09,28,190,5320,Setembro,4,7
465,Breno,Amaral,04/08/1991,Porto Alegre,Vestido,2018-04-29,43,300,12900,Abril,4,5
468,Jucelia,Bailly,09/01/1993,Rio de Janeiro,Vestido,2018-04-29,9,150,1350,Abril,4,3
466,Izabel,Milagre,20/09/1992,Curitiba,Jaqueta,2018-04-29,42,75,3150,Abril,4,8
359,Emanuella,Fialho,22/12/1986,Fortaleza,Jaqueta,2018-04-05,51,75,3825,Maio,4,3
385,Breno,Amaral,11/12/1986,Curitiba,Tenis,2018-04-12,63,110,6930,Dezembro,4,1
346,Jucelia,Bailly,01/08/1986,Porto Alegre,Vestido,2018-04-03,80,150,12000,Marco,4,3
349,Juliane,Felipi,19/11/1992,Fortaleza,Pulseira,2018-04-03,80,25,2000,Marco,4,2
436,Joyce,Ribas,13/09/1985,Rio de Janeiro,Vestido,2018-04-24,47,300,14100,Abril,4,4
339,Maryanna,Correa,18/10/1989,Curitiba,Chinelo,2018-04-01,63,25,1575,Janeiro,4,2
337,Emanuella,Fialho,08/09/1992,Rio de Janeiro,Casaco,2018-04-01,84,110,9240,Janeiro,4,7
437,Breno,Amaral,01/09/1985,Salvador,Bermuda,2018-04-24,96,85,8160,Abril,4,5
439,Breno,Amaral,06/09/1992,Curitiba,Sapato,2018-04-24,98,75,7350,Abril,4,8
434,Jucelia,Bailly,10/09/1989,Porto Alegre,Sandalia,2018-04-24,120,250,30000,Abril,4,6
440,Paloma,Farias,23/05/1990,Salvador,Casaco,2018-04-24,72,85,6120,Abril,4,4
435,Joyce,Ribas,27/09/1989,Fortaleza,Camiseta,2018-04-24,79,200,15800,Abril,4,5
441,Patricia,Camara,29/03/1987,Rio de Janeiro,Saia,2018-04-24,24,150,3600,Abril,4,3
348,Andrew,Carvalhal,03/03/1992,Sao Paulo,Short,2018-04-03,16,300,4800,Marco,4,3
345,Iago,Bensdorp,03/10/1993,Sao Paulo,Vestido,2018-04-03,74,230,17020,Marco,4,3
445,NatÃ¡lia,Huon,13/09/1990,Sao Paulo,Vestido,2018-04-26,142,200,28400,Abril,4,6
347,Patricia,Camara,29/11/1990,Sao Paulo,Vestido,2018-04-03,50,190,9500,Marco,4,4
350,Izabel,Milagre,05/12/1990,Curitiba,Casaco,2018-04-03,5,75,375,Marco,4,4
343,Joyce,Ribas,01/08/1993,Fortaleza,Sapato,2018-04-02,5,200,1000,Fevereiro,4,1
342,Iago,Bensdorp,29/04/1986,Rio de Janeiro,Saia,2018-04-02,80,85,6800,Fevereiro,4,4
341,Breno,Amaral,13/04/1988,Curitiba,Saia,2018-04-02,113,85,9605,Fevereiro,4,3
340,Joyce,Ribas,29/11/1987,Brasilia,Camiseta,2018-04-02,145,110,15950,Fevereiro,4,2
336,Iago,Bensdorp,18/12/1989,Porto Alegre,Camiseta,2018-04-01,44,230,10120,Janeiro,4,8
431,Paloma,Farias,20/09/1985,Curitiba,Vestido,2018-04-23,101,190,19190,Abril,4,3
344,Jucelia,Bailly,06/06/1990,Porto Alegre,Camiseta,2018-04-02,9,30,270,Fevereiro,4,5
335,Maryanna,Correa,10/05/1991,Sao Paulo,Saia,2018-04-01,133,85,11305,Janeiro,4,8
333,NatÃ¡lia,Huon,14/03/1989,Curitiba,Vestido,2018-04-01,124,190,23560,Janeiro,4,8
334,Jucelia,Bailly,18/03/1989,Brasilia,Sapato,2018-04-01,137,110,15070,Janeiro,4,8
432,Maryanna,Correa,06/11/1986,Sao Paulo,Saia,2018-04-23,137,85,11645,Abril,4,1
338,Patricia,Camara,23/11/1993,Brasilia,Sapato,2018-04-01,135,30,4050,Janeiro,4,2
351,Joyce,Ribas,04/11/1986,Porto Alegre,Sandalia,2018-04-04,106,85,9010,Abril,4,6
446,Jucelia,Bailly,08/04/1986,Salvador,Casaco,2018-04-26,78,300,23400,Abril,4,4
453,Paloma,Farias,27/06/1991,Porto Alegre,Casaco,2018-04-26,8,110,880,Abril,4,7
452,Patricia,Camara,18/08/1992,Rio de Janeiro,Camiseta,2018-04-26,98,30,2940,Abril,4,1
451,Eduarda,Figueiredo,03/01/1985,Fortaleza,Saia,2018-04-26,66,55,3630,Abril,4,6
449,Andrew,Carvalhal,25/12/1989,Porto Alegre,Casaco,2018-04-26,47,150,7050,Abril,4,4
448,Breno,Amaral,29/06/1991,Sao Paulo,Camiseta,2018-04-26,49,200,9800,Abril,4,4
447,Joyce,Ribas,13/04/1991,Salvador,Sapato,2018-04-26,60,250,15000,Abril,4,8
358,Elizeu,Barros,06/12/1988,Salvador,Chinelo,2018-04-05,76,55,4180,Maio,4,6
357,Iago,Bensdorp,10/06/1992,Curitiba,Sapato,2018-04-05,113,75,8475,Maio,4,8
356,Joyce,Ribas,13/05/1986,Rio de Janeiro,Short,2018-04-05,50,200,10000,Maio,4,4
354,NatÃ¡lia,Huon,29/05/1988,Brasilia,Casaco,2018-04-05,114,190,21660,Maio,4,8
433,Elizeu,Barros,14/11/1986,Salvador,Camiseta,2018-04-23,87,30,2610,Abril,4,6
444,Elizeu,Barros,24/02/1987,Curitiba,Sandalia,2018-04-25,66,25,1650,Abril,4,3
355,Izabel,Milagre,16/11/1985,Brasilia,Sandalia,2018-04-05,90,190,17100,Maio,4,8
353,Iago,Bensdorp,31/08/1990,Fortaleza,Vestido,2018-04-04,5,150,750,Abril,4,3
442,Izabel,Milagre,14/01/1989,Porto Alegre,Sandalia,2018-04-25,142,25,3550,Abril,4,6
443,Maryanna,Correa,21/11/1986,Porto Alegre,Casaco,2018-04-25,39,85,3315,Abril,4,6
352,Emanuella,Fialho,14/11/1992,Salvador,Casaco,2018-04-04,69,25,1725,Abril,4,2
497,Joyce,Ribas,15/10/1993,Sao Paulo,Sapato,2018-05-30,39,55,2145,Maio,5,1
495,Paloma,Farias,18/05/1985,Curitiba,Pulseira,2018-05-30,115,30,3450,Maio,5,7
475,Emanuella,Fialho,15/04/1986,Rio de Janeiro,Sapato,2018-05-01,16,75,1200,Janeiro,5,3
474,Joyce,Ribas,05/11/1989,Curitiba,Vestido,2018-05-01,32,85,2720,Janeiro,5,5
472,Izabel,Milagre,12/11/1992,Sao Paulo,Sandalia,2018-05-01,101,75,7575,Janeiro,5,4
473,Maryanna,Correa,19/08/1991,Curitiba,Vestido,2018-05-01,74,55,4070,Janeiro,5,7
496,Jucelia,Bailly,30/03/1987,Fortaleza,Saia,2018-05-30,123,25,3075,Maio,5,1
501,Joyce,Ribas,09/07/1985,Curitiba,Vestido,2018-05-31,44,250,11000,Maio,5,4
505,Breno,Amaral,21/09/1990,Fortaleza,Sapato,2018-05-31,24,25,600,Maio,5,2
503,Eduarda,Figueiredo,02/12/1989,Brasilia,Short,2018-05-31,37,85,3145,Maio,5,4
476,Juliane,Felipi,03/11/1990,Brasilia,Vestido,2018-05-02,138,150,20700,Fevereiro,5,2
504,Joyce,Ribas,25/05/1987,Porto Alegre,Vestido,2018-05-31,11,85,935,Maio,5,7
502,Maryanna,Correa,13/05/1987,Porto Alegre,Tenis,2018-05-31,45,230,10350,Maio,5,2
499,Joyce,Ribas,31/08/1990,Brasilia,Sapato,2018-05-31,125,150,18750,Maio,5,6
498,Eduarda,Figueiredo,06/01/1985,Curitiba,Vestido,2018-05-30,30,25,750,Maio,5,1
500,Iago,Bensdorp,22/09/1993,Brasilia,Vestido,2018-05-31,114,150,17100,Maio,5,3
481,Paloma,Farias,01/06/1986,Curitiba,Casaco,2018-05-26,32,55,1760,Maio,5,3
494,Joyce,Ribas,08/05/1987,Brasilia,Camiseta,2018-05-29,16,110,1760,Maio,5,5
479,Emanuella,Fialho,06/06/1990,Porto Alegre,Sandalia,2018-05-26,136,55,7480,Maio,5,4
478,Jucelia,Bailly,21/07/1987,Sao Paulo,Saia,2018-05-26,36,300,10800,Maio,5,7
477,Izabel,Milagre,02/12/1988,Curitiba,Pulseira,2018-05-26,115,150,17250,Maio,5,8
480,Izabel,Milagre,07/06/1985,Rio de Janeiro,Chinelo,2018-05-26,14,150,2100,Maio,5,7
485,Juliane,Felipi,19/12/1986,Porto Alegre,Casaco,2018-05-27,126,25,3150,Maio,5,3
484,Maryanna,Correa,19/02/1992,Brasilia,Sapato,2018-05-27,47,110,5170,Maio,5,5
482,Breno,Amaral,22/04/1988,Curitiba,Casaco,2018-05-27,126,75,9450,Maio,5,5
488,Juliane,Felipi,28/02/1988,Rio de Janeiro,Casaco,2018-05-28,13,85,1105,Maio,5,6
490,Breno,Amaral,01/01/1985,Brasilia,Sapato,2018-05-29,128,230,29440,Maio,5,1
486,Maryanna,Correa,31/07/1990,Sao Paulo,Sandalia,2018-05-28,128,30,3840,Maio,5,6
489,Maryanna,Correa,16/04/1985,Porto Alegre,Bermuda,2018-05-28,25,25,625,Maio,5,1
491,NatÃ¡lia,Huon,04/02/1987,Rio de Janeiro,Jaqueta,2018-05-29,118,190,22420,Maio,5,2
492,Joyce,Ribas,11/12/1992,Porto Alegre,Jaqueta,2018-05-29,95,230,21850,Maio,5,7
493,Emanuella,Fialho,13/03/1988,Porto Alegre,Short,2018-05-29,111,110,12210,Maio,5,5
487,Jucelia,Bailly,30/07/1988,Rio de Janeiro,Sapato,2018-05-28,18,150,2700,Maio,5,6
